iter	Passed	Remaining
721	9833	3786
722	9848	3773
723	9861	3759
724	9874	3745
725	9888	3732
726	9901	3718
727	9914	3704
728	9928	3690
729	9943	3677
730	9955	3663
731	9969	3650
732	9982	3636
733	9997	3623
734	10012	3609
735	10024	3595
736	10039	3582
737	10051	3568
738	10063	3554
739	10075	3540
740	10088	3526
741	10102	3512
742	10114	3498
743	10128	3485
744	10141	3471
745	10154	3457
746	10167	3443
747	10180	3429
748	10193	3416
749	10207	3402
750	10219	3388
751	10231	3374
752	10246	3360
753	10260	3347
754	10272	3333
755	10284	3319
756	10297	3305
757	10310	3291
758	10323	3277
759	10336	3264
760	10349	3250
761	10363	3236
762	10377	3223
763	10390	3209
764	10403	3195
765	10416	3182
766	10429	3168
767	10443	3154
768	10456	3141
769	10470	3127
770	10482	3113
771	10495	3099
772	10508	3085
773	10520	3071
774	10534	3058
775	10545	3044
776	10561	3031
777	10574	3017
778	10586	3003
779	10600	2989
780	10612	2975
781	10628	2963
782	10643	2949
783	10655	2935
784	10667	2921
785	10682	2908
786	10695	2894
787	10708	2881
788	10720	2866
789	10733	2853
790	10745	2839
791	10758	2825
792	10772	2811
793	10785	2798
794	10798	2784
795	10810	2770
796	10824	2757
797	10838	2743
798	10850	2729
799	10864	2716
800	10878	2702
801	10890	2688
802	10904	2675
803	10919	2661
804	10934	2648
805	10947	2634
806	10960	2621
807	10973	2607
808	10986	2593
809	10997	2579
810	11009	2565
811	11022	2552
812	11035	2538
813	11049	2524
814	11062	2511
815	11075	2497
816	11087	2483
817	11099	2469
818	11111	2455
819	11125	2442
820	11139	2428
821	11153	2415
822	11168	2401
823	11183	2388
824	11196	2374
825	11209	2361
826	11222	2347
827	11236	2334
828	11250	2320
829	11262	2306
830	11274	2292
831	11287	2279
832	11300	2265
833	11314	2252
834	11328	2238
835	11341	2224
836	11353	2211
837	11366	2197
838	11380	2183
839	11393	2170
840	11406	2156
841	11420	2143
842	11433	2129
843	11446	2115
844	11460	2102
845	11475	2088
846	11487	2075
847	11500	2061
848	11513	2047
849	11527	2034
850	11539	2020
851	11551	2006
852	11565	1993
853	11580	1979
854	11593	1966
855	11606	1952
856	11618	1938
857	11633	1925
858	11646	1911
859	11661	1898
860	11675	1884
861	11687	1871
862	11702	1857
863	11717	1844
864	11730	1830
865	11742	1817
866	11756	1803
867	11770	1789
868	11783	1776
869	11797	1762
870	11809	1749
871	11821	1735
872	11835	1721
873	11849	1708
874	11862	1694
875	11877	1681
876	11891	1667
877	11905	1654
878	11917	1640
879	11930	1626
880	11946	1613
881	11958	1599
882	11971	1586
883	11984	1572
884	11998	1559
885	12012	1545
886	12024	1531
887	12038	1518
888	12051	1504
889	12065	1491
890	12078	1477
891	12092	1464
892	12106	1450
893	12120	1437
894	12134	1423
895	12148	1410
896	12163	1396
897	12178	1383
898	12193	1369
899	12207	1356
900	12221	1342
901	12234	1329
902	12247	1315
903	12260	1301
904	12273	1288
905	12287	1274
906	12299	1261
907	12314	1247
908	12328	1234
909	12341	1220
910	12354	1206
911	12367	1193
912	12380	1179
913	12396	1166
914	12409	1152
915	12423	1139
916	12438	1125
917	12450	1112
918	12466	1098
919	12478	1085
920	12491	1071
921	12505	1057
922	12517	1044
923	12530	1030
924	12542	1016
925	12557	1003
926	12573	990
927	12587	976
928	12601	963
929	12615	949
930	12629	936
931	12641	922
932	12656	908
933	12669	895
934	12685	881
935	12699	868
936	12714	854
937	12729	841
938	12742	827
939	12755	814
940	12768	800
941	12783	787
942	12797	773
943	12812	760
944	12824	746
945	12838	732
946	12853	719
947	12866	705
948	12880	692
949	12893	678
950	12906	664
951	12918	651
952	12931	637
953	12945	624
954	12960	610
955	12972	597
956	12986	583
957	12999	569
958	13013	556
959	13025	542
960	13039	529
961	13052	515
962	13066	502
963	13080	488
964	13092	474
965	13105	461
966	13119	447
967	13132	434
968	13148	420
969	13163	407
970	13176	393
971	13188	379
972	13202	366
973	13216	352
974	13229	339
975	13243	325
976	13255	312
977	13268	298
978	13280	284
979	13294	271
980	13306	257
981	13322	244
982	13334	230
983	13346	217
984	13360	203
985	13373	189
986	13387	176
987	13401	162
988	13416	149
989	13432	135
990	13446	122
991	13459	108
992	13471	94
993	13485	81
994	13500	67
995	13513	54
996	13526	40
997	13538	27
998	13551	13
999	13563	0
